id,duration
30KctD1WsHKTIYczXjip5a,193293
617kNUnrMKYKGIpAsC93O7,186000
5cFJcbUvqjDTTXCjbZ5EhD,159452
7pFWr3hJC7rs4BYN9Iswn3,432522
501AuLAz4XbXALtV22ctD0,424000
3FV1zVLMiz3yOmmUGgTlfW,467660
4JZj6alHG7K38AS4FMtNCQ,262653
0E0xI4AgMNU7UkwBt3FCVN,275973
1HhKJv8Tp82y4WpmdX1pnb,341625
0wPfUQUkWcguy2iUH0BWOT,264464
6B6QYqD0tFitp8nrH9jZDj,207524
2MbdDtCv5LUVjYy9RuGTgC,227478
39EAajItiYXH7Qj60LsSRs,402521
496Lca1jbzd5vgpSsT52Xe,197062
61eyaitcIdl1jpnc6Kb8M3,156210
2BaWEDerOWY1ShD3rpqgWv,114458
4vZ6U4BYEKeuyhbSVofLTS,439808
6OFz8IFZgDQnlAzYgjYXcM,508291
7mkWh1dJ8kGga7IlxJPq6Y,378827
1R6EtqqpbA3E4P1G87qkun,437066
37py6z4ullszVUW8hnofBQ,245000
4LP7iBILx3sfPVmzOGukBz,138000
1Fs3DEJsYoT1jsK9sNGRaK,348289
3gV0E3N4uOcoNsbxLkGWkp,139684
7xVLFuuYdAvcTfcP3IG3dS,283693
05iNGsq7dBrg1hhU3fwb3r,413512
3NqzS5b75YbP8doCUnLT4V,216398
33Nz83Zx81vN6sfaLI9oqx,150361
3OaunNUlXXs5e2PXtNAzzG,192000
1crID0Tv8Ski9qj3Guo1VE,410041
66RPEhrXg9d2MGsnWuZwsD,220529
0yuJtvXsapVOQfNDYxQ5mw,421306
5pjHmKKTapKSYZ2fZGiK96,260571
6AQobWDXD64OnrlmIeZaja,152984
3cDyGZQO2rE3zcE5xeJVmF,188603
4Il3OMJ8S2SLUeZWusypHS,548858
0nyKpt36pWK435Sa7LKk6P,196235
5hJz8q4RWuDmFqBN2jfXJG,388585
7gwB872zS8guMxYTyQSwxY,325723
0Er2jzxpETgTu4O8WIvRqA,162371
0r0kQiBQ8lP3EDXrmQw28w,135769
5A6P4j1vzChOHQj7rdZndJ,169000
5vFmBK3fjGlJUM3uHNt3o2,318266
20wwlbUXPg6aemiecsXX0E,597237
7foafyqmJYUdhGBpIusueW,306226
4AI4LBwlUNO65wlYT320o6,518000
6O5AGRHIKvSeyWIUpWfugt,183750
6Q6L6tqFOt4r23XHLxukDh,252264
4lCSOu4tsSlljiQUlWJYVt,127546
77OfyTCKapmVlU4YtMFUD4,445500
5xH2JnZg5i43AGKTpSDO34,496190
5HyNrWvG43Hweze5agk4kK,168589
5dg4F4PPKLe3rFyCDkpYrP,393440
4PjQnCqdF2VmzGsFp2IRAt,376372
6xJJXhgcVuv2fSQXSNbXHE,338115
2JvSqbdnSkBqii2i95CDnK,415537
5Fia4B2GiqJIGpxCWFH1rw,387607
553HOkDZQktOEBKvxTBPS1,555626
7ouNolPevRZcmf7wnp0Ypu,229333
7wOirxr2EhVVFeG8Rs0Jnx,297054
5w6tiUohQaif3W4i1kSbC2,337377
7K8vPC3GPWafq2zXHuUGXz,225440
0nKe1H75sjT2lQMH1gjR3e,360118
03cA9U49CTckD57Tb0ogbe,82857
5jCyw3gXBuokjBKJJYsDsk,216837
2U42jVkNgEU6DoM64eFD7i,86571
3T00mhdOYUuM5yiuPs3xhs,185000
0IZcBw4yxmia7UjakLEaAc,186514
66z7yY7LiJvscxnMFiT7Qg,468292
30HJwA7Q1x1kYdgaNjg6Ix,631703
3YgQmd3NhIymCCDmMpIX5w,235537
0ZAsC6ftHsSEUQoNbjyATV,159000
51Of5p3lKZeOg6itfs4og4,190487
528A1xAAevi9hFZgxPZ9B9,329523
4j87aLlhwhOYGz1A4UUvPP,341211
2HTzzn4hP4PHlX2nLotWF4,343911
7qrBYrivpvfXUPBMmqh3dA,136914
